,labels
107038,-1
41925,-1
120163,-1
57266,-1
16704,1
41319,0
198138,-1
154669,-1
165232,1
210504,1
169312,0
181800,-1
26313,0
196453,1
192484,-1
135889,1
32709,1
105590,-1
135706,-1
9820,0
184162,1
180693,1
39319,-1
131523,-1
188303,0
91849,1
178881,-1
42063,-1
83602,1
196611,0
167691,0
164000,1
150888,1
188648,1
108890,1
114997,-1
114622,-1
212386,-1
179401,-1
134551,-1
134896,-1
50569,-1
121655,0
3688,-1
184580,-1
130487,-1
15132,-1
28367,-1
108681,1
101687,-1
48177,0
57028,1
28527,0
117581,1
63199,-1
41156,0
63923,1
84169,-1
25073,-1
130633,-1
75255,-1
24147,-1
14121,-1
89637,1
164589,-1
52610,-1
89442,-1
178090,-1
211148,-1
189909,1
104497,0
61504,-1
185514,-1
165237,0
126219,1
79065,0
45571,-1
206211,-1
74671,0
111499,-1
86151,0
83472,-1
88079,-1
60106,-1
97494,0
154928,-1
60794,-1
53381,0
3064,-1
193846,-1
142812,-1
11496,1
107797,-1
196447,-1
71506,-1
186081,1
207924,-1
50853,-1
157706,1
201346,0
16892,-1
88542,-1
121473,-1
151524,0
177450,1
4277,-1
193254,-1
210206,0
81123,0
193044,0
175699,1
125106,0
135818,-1
37679,-1
156496,-1
163219,0
37346,1
190221,1
137428,-1
194169,1
89114,0
57764,0
158876,0
169295,1
84795,0
151574,1
160421,-1
169597,0
114788,1
126548,-1
201525,-1
193468,-1
13756,0
64094,1
114790,-1
152688,-1
94147,0
1256,1
82633,-1
29514,1
114192,-1
164823,-1
69534,-1
90390,-1
125771,-1
146876,0
11256,-1
127525,-1
169167,0
111771,-1
88597,-1
206393,0
131925,-1
170612,0
5352,-1
78050,0
125856,0
19114,1
163928,1
85500,1
29410,0
196467,-1
156336,-1
139797,-1
20774,-1
107788,0
52248,-1
139092,-1
198924,1
985,1
75268,-1
174014,0
24717,-1
25299,1
33495,0
183893,1
173380,-1
192269,-1
73971,1
54608,-1
197162,1
166871,-1
15361,-1
104811,1
3876,-1
37830,1
133989,-1
43768,-1
169318,0
117505,-1
117660,-1
80511,-1
139488,-1
126431,1
172013,-1
111852,0
121325,-1
18042,0
51501,-1
139916,-1
58363,1
123037,0
105158,1
204215,0
114986,-1
153761,1
95740,0
122981,-1
16933,0
112208,1
27999,-1
169060,-1
56597,1
57100,0
81881,0
151984,1
78158,0
9067,1
97097,-1
135904,1
82737,1
54854,-1
200530,0
71821,-1
205411,0
11079,1
163536,-1
117297,-1
36348,-1
51234,0
113832,0
102277,0
203882,-1
144636,-1
186861,-1
45790,-1
4157,0
215471,1
60211,1
97968,1
166394,1
104121,-1
111419,-1
146490,1
192129,0
107699,0
56530,1
97384,0
103737,-1
194843,0
153374,-1
59329,-1
76705,-1
200705,-1
62826,0
156511,0
48633,1
185071,-1
107172,0
149192,-1
2357,1
139597,-1
126312,0
98279,1
203271,1
126376,0
167703,-1
38757,1
188768,-1
94982,-1
95061,1
162336,-1
75366,1
147895,0
87454,-1
38662,0
194457,1
188017,0
87775,-1
96315,0
156423,1
47178,1
198914,0
134013,-1
46392,-1
30790,-1
112717,-1
90138,-1
138903,1
57116,1
14007,-1
27061,0
59559,0
155395,0
130763,-1
6072,-1
49863,-1
152109,-1
131698,0
62043,1
79271,1
77382,0
165460,1
132391,-1
105594,-1
102725,0
33581,1
77195,0
116818,-1
163120,0
165651,0
170822,0
101328,-1
42570,1
135644,-1
173282,0
74308,1
206039,-1
51554,0
156273,0
11844,-1
218161,1
149064,-1
197387,-1
141502,1
149412,0
75473,0
42897,1
40203,-1
95794,-1
99711,-1
133560,-1
158612,0
134570,-1
194707,1
179535,0
95563,-1
16253,0
111297,-1
166540,-1
142264,-1
53903,0
951,-1
116430,0
6633,-1
169261,0
25737,0
151355,-1
129519,1
172725,-1
6956,1
64693,-1
102355,1
83601,1
120007,0
70374,-1
3929,1
24953,-1
156852,-1
176499,-1
213655,0
138415,-1
174743,-1
37773,1
37189,1
15435,-1
91238,0
23598,1
123233,0
45622,0
15557,-1
5353,1
63573,-1
181072,0
81168,1
175431,1
74214,1
217295,1
4585,-1
97337,0
31950,-1
145089,-1
149974,1
186412,0
76504,-1
194546,0
164776,1
177269,-1
73030,1
90021,0
87380,1
169144,-1
171885,0
105382,-1
30163,1
173315,-1
197195,-1
121861,1
193847,-1
126501,-1
75037,1
108420,-1
39849,-1
33404,0
29502,0
215544,-1
124757,-1
133908,1
123487,-1
49014,0
129319,-1
94711,0
136144,0
8181,1
118574,-1
52770,-1
58843,-1
174989,0
89287,1
145634,0
86228,1
157311,-1
218773,1
139963,-1
122559,-1
14657,1
109921,1
52113,-1
212205,0
36325,0
7047,1
24020,1
131212,-1
150326,1
125472,0
119613,1
56504,1
103881,-1
107979,-1
5930,-1
170052,-1
123381,-1
37977,1
157130,1
138977,1
150329,1
185293,-1
13772,-1
212399,-1
87605,1
92087,0
161295,0
205072,-1
143249,0
152405,1
167138,-1
172602,0
188200,-1
172293,1
28886,-1
12019,-1
121313,-1
130357,-1
105108,0
105748,-1
129566,-1
152841,-1
16523,-1
123093,0
39551,0
109840,-1
81640,-1
215939,0
130741,0
37660,-1
199211,-1
19057,-1
145330,1
5938,0
101913,-1
38027,0
129720,1
26445,-1
1843,0
139383,-1
90842,-1
3496,0
158344,-1
153974,1
21355,0
111564,-1
131435,0
101656,-1
219237,0
199516,0
66383,0
77431,1
82535,1
64848,-1
74962,1
150360,0
190772,1
164206,1
212285,-1
171535,1
60858,1
149663,0
58154,1
32447,1
57364,-1
99358,-1
192448,1
27882,1
69779,-1
132328,-1
92453,1
49975,-1
166706,-1
171121,1
186586,-1
95185,-1
105775,-1
149867,-1
151980,-1
13875,-1
32184,-1
119150,0
31987,-1
159223,-1
123657,1
123868,1
14292,-1
200848,0
134975,-1
154118,-1
10096,1
191192,-1
180862,-1
164996,1
203312,-1
30950,1
166374,-1
49273,0
168438,0
103266,-1
202831,-1
139478,0
107867,0
8728,-1
169656,-1
98527,-1
154061,1
116560,0
185532,0
200515,1
70529,-1
48000,1
42122,1
163612,1
40267,-1
185247,0
96164,-1
176055,-1
182554,1
46452,1
181584,-1
106964,1
94926,-1
32682,-1
77407,0
54171,0
212125,1
52083,-1
196615,0
127077,-1
176369,-1
166824,-1
49291,-1
26939,1
50826,0
59666,-1
77602,-1
146368,0
164192,0
53672,1
217312,1
67993,-1
91264,-1
43530,-1
201288,1
194687,-1
81263,-1
134228,1
54587,-1
217008,-1
70239,1
115834,0
51002,-1
56466,-1
128571,0
65001,0
42007,-1
96877,1
140714,-1
215306,1
6441,-1
55207,-1
213406,-1
153654,0
33752,-1
174487,-1
51117,-1
90315,1
125111,0
178995,0
121464,-1
202088,1
154197,-1
187179,-1
152831,0
109527,-1
39345,-1
2651,-1
97182,1
135679,-1
26416,1
134437,1
23480,1
169769,-1
67289,-1
15943,-1
62806,-1
82161,0
173701,0
51499,1
50913,-1
42997,-1
130192,0
212442,-1
112929,1
123665,-1
72148,-1
95206,1
180339,-1
72667,-1
19272,-1
63762,-1
73562,-1
198563,1
4039,1
83105,-1
54411,0
55929,-1
79673,-1
104862,1
63504,1
62020,-1
204267,-1
199437,1
166152,-1
165784,0
99234,1
477,1
129018,1
5877,1
88221,0
22603,-1
149843,-1
80340,1
93158,1
124425,1
187114,0
116755,0
172137,-1
119065,-1
14438,-1
75977,1
117052,0
22182,1
182622,-1
213157,0
114920,-1
31647,1
175983,0
202414,0
16949,0
100587,-1
75081,1
216022,1
83326,-1
157502,-1
144361,-1
144846,-1
122657,0
58807,1
13379,-1
169947,-1
196040,1
210188,1
165690,0
165380,-1
7094,-1
91972,0
58516,-1
120090,-1
54718,-1
60111,-1
21493,-1
215594,1
45524,-1
108989,1
63142,1
65404,-1
126030,1
42583,1
184682,1
150303,1
23078,0
121604,0
95874,0
209126,-1
31176,-1
170977,-1
191188,0
214994,0
72912,1
161030,-1
190841,0
118203,-1
68727,-1
158110,-1
144136,1
73287,-1
173527,-1
3032,-1
198741,1
95099,-1
23394,1
51139,-1
65518,1
144184,0
175988,-1
122881,1
88210,-1
75207,0
217682,-1
159848,0
77519,1
128203,0
110790,-1
219189,-1
164758,1
146633,-1
144502,-1
7745,0
109799,-1
104641,-1
193584,-1
128244,0
34350,-1
9777,-1
35631,1
50885,0
207531,1
186177,-1
158358,1
13577,-1
4685,0
141953,-1
50768,0
121029,-1
119862,-1
179397,0
145672,-1
179323,1
22379,-1
140142,-1
133702,1
129530,1
27595,-1
87544,-1
1886,-1
195547,-1
10757,-1
89296,-1
153338,0
75684,-1
132708,-1
42060,0
28960,0
143244,1
112558,-1
2736,-1
105511,0
95154,0
23573,0
20851,-1
195041,0
125994,-1
155619,0
90533,-1
53745,1
31426,-1
184507,0
48627,1
28291,-1
213,1
12648,0
139202,0
11439,0
142544,1
156208,-1
97698,-1
55584,-1
109297,0
18764,1
12107,0
86827,1
28499,-1
146034,-1
92114,0
6454,-1
179442,0
58345,1
214718,-1
207274,1
119370,1
188352,1
86010,1
173554,0
81390,0
132225,1
134060,-1
104494,1
66743,-1
28274,1
86880,1
178131,-1
2999,-1
18443,0
96880,-1
38719,1
92742,-1
146062,-1
77531,-1
180238,0
167433,-1
130068,0
210384,-1
180817,1
213182,-1
115917,0
96688,0
128576,0
187961,0
204146,-1
51939,-1
143124,0
79716,-1
43765,1
95601,1
181335,1
66341,-1
96278,-1
189825,0
195652,-1
204960,1
156368,0
54788,-1
7346,1
155171,1
150602,-1
213036,-1
58289,0
184254,-1
122345,1
181079,-1
56082,1
94211,0
59649,1
7417,-1
8546,1
53351,0
88213,0
1008,1
86730,-1
32479,-1
53954,0
134074,-1
151627,1
78823,-1
189171,-1
18425,0
68820,1
139187,1
97765,0
45665,-1
75236,-1
18222,-1
93533,-1
186338,0
182626,1
26429,0
29896,0
205674,0
62307,1
177913,-1
217117,1
41727,1
128753,1
150972,1
68985,-1
91359,-1
55551,-1
19671,-1
150385,-1
113896,1
113040,-1
199580,1
164222,1
16491,-1
34591,1
29788,1
174529,-1
149468,-1
102847,1
195386,-1
50039,-1
102270,1
95527,1
114942,-1
7315,-1
63164,0
99646,-1
84356,1
149958,-1
18843,1
157352,-1
71412,1
94263,1
67029,1
156790,-1
12275,-1
137838,0
70107,-1
38173,0
45098,1
118929,-1
34445,0
40587,1
121010,0
198429,-1
97371,1
100686,-1
181388,-1
21991,-1
122677,-1
62203,-1
107543,-1
25641,1
65622,-1
50427,0
117187,-1
129786,0
107045,-1
64261,-1
69628,1
128486,0
111983,-1
67327,-1
193102,-1
213683,-1
13738,1
96301,1
108143,-1
38449,0
217996,0
76024,-1
200825,-1
44658,-1
64984,-1
27276,-1
128707,1
25669,-1
61365,-1
198961,-1
91293,0
107849,0
94920,1
142680,-1
63368,0
184051,-1
162292,-1
161578,0
60806,-1
151059,0
91993,-1
73342,0
139208,-1
59731,0
180777,0
124492,1
7935,-1
153384,1
8656,0
1855,0
209457,0
22563,0
217674,1
164563,-1
141793,1
61490,-1
20220,-1
130070,-1
5726,-1
160123,0
103895,-1
60137,0
81922,-1
132951,1
9452,-1
129787,1
75125,-1
165547,-1
124969,0
33535,-1
51563,-1
85503,0
119167,-1
97512,1
86225,-1
91930,0
72860,1
37715,0
163101,-1
84495,0
27236,1
1974,0
141830,-1
162726,-1
208209,0
177745,0
126116,0
15799,1
101745,-1
44846,-1
101500,1
93236,0
188599,1
160342,1
127078,1
27406,0
97480,-1
4049,-1
150187,1
66849,-1
165564,0
98768,-1
176360,-1
135770,0
27078,1
177798,-1
127,-1
202196,-1
176757,-1
17234,1
150770,0
31484,1
43285,1
81812,-1
155228,1
80658,-1
151287,1
150682,1
195007,0
7607,-1
16275,0
149626,1
70076,-1
118227,-1
22891,1
131537,-1
140727,-1
28542,0
111295,-1
59877,0
200340,1
122565,1
114273,0
51800,-1
79100,0
41622,-1
36705,0
80150,-1
69877,-1
51365,-1
215006,-1
97778,-1
177357,-1
274,1
147465,0
33810,1
69299,0
177542,-1
155936,-1
38094,1
83912,1
4689,-1
103918,-1
212079,0
147986,-1
175489,1
184408,-1
209740,-1
74846,0
51257,1
149756,-1
29634,-1
112807,0
152710,1
140052,1
17316,-1
72426,1
45857,0
33277,1
128173,-1
4546,1
94592,-1
210052,1
113602,0
31210,-1
71824,-1
9826,1
143617,1
132415,0
50582,-1
101231,-1
82825,1
26673,-1
73142,0
77162,0
32889,1
81776,1
76233,-1
52505,0
54082,0
66079,0
18292,-1
18241,-1
124461,-1
166723,0
102631,1
104607,0
78039,-1
143284,0
26020,-1
188044,1
120713,0
108472,0
139273,-1
122354,0
45733,-1
182005,-1
85097,0
109025,-1
60094,1
179360,-1
142478,0
51008,1
213074,1
208879,-1
131805,-1
50168,-1
74381,-1
66521,0
99325,-1
16889,-1
178557,-1
99403,1
42166,-1
6695,-1
121224,1
188851,1
189321,0
82814,-1
178260,0
134879,-1
178788,-1
20541,1
51957,-1
107996,-1
139726,-1
62915,-1
218444,-1
83374,-1
45127,0
193975,0
94559,-1
56522,-1
36887,0
23192,-1
13874,-1
216529,0
188947,1
78501,-1
68561,1
209626,-1
158418,-1
196420,1
6806,-1
198848,-1
122348,-1
186310,-1
200881,-1
78069,-1
64781,-1
85497,-1
81293,-1
44343,0
103271,-1
120775,-1
114004,-1
216700,0
35248,0
91219,-1
7339,1
172475,0
22731,-1
118488,-1
211068,-1
81888,0
145884,-1
102871,1
185265,-1
194183,-1
122350,-1
18147,-1
13903,-1
161051,-1
5222,-1
84123,-1
30440,-1
83270,0
142724,0
143123,-1
138437,0
60895,-1
153997,1
118547,1
182489,-1
21189,-1
29732,1
60189,0
168256,1
89512,0
59651,-1
148169,1
198704,-1
44735,-1
195415,0
199834,0
96072,0
41470,-1
5868,-1
212027,-1
166529,-1
77310,-1
186423,-1
50931,1
189734,-1
192221,-1
122780,1
154829,-1
203545,-1
71342,0
47403,-1
73855,1
148931,-1
83246,-1
178764,0
181543,-1
198161,1
5519,1
171127,-1
170761,-1
58378,0
4287,-1
114635,0
101935,0
132037,0
62217,1
76440,-1
142252,-1
39155,0
205568,-1
116503,0
91586,1
178616,1
71006,0
196538,0
164249,1
34981,1
75636,0
168951,1
99556,1
172671,0
39320,-1
118735,1
78099,1
35829,0
69660,-1
60488,0
169828,0
84965,-1
208760,1
31148,0
60509,-1
85201,-1
36053,-1
186629,-1
126408,-1
187838,-1
45782,-1
188396,-1
140852,-1
106370,1
18169,-1
182606,-1
20551,-1
218315,1
73202,-1
87225,0
125863,-1
163949,0
164311,0
135600,-1
21876,1
167438,1
153341,-1
148092,-1
198618,-1
170709,0
151992,-1
88723,-1
203645,0
43837,0
84362,-1
94349,-1
105757,-1
11707,-1
124672,1
51389,1
81429,0
1991,0
185522,1
164282,1
163364,1
73814,-1
125979,-1
213863,1
34947,-1
215644,1
92509,-1
208329,-1
39666,1
37735,-1
13575,1
72257,-1
165788,1
902,0
93372,0
97004,1
218107,-1
28655,1
87082,0
71746,-1
214717,-1
166861,0
218816,-1
208420,1
117242,-1
20765,0
37585,-1
62255,-1
100528,-1
39485,0
82487,0
171617,-1
142884,-1
101326,0
12745,-1
200695,1
65405,-1
85119,-1
195565,-1
171035,-1
143413,-1
204744,0
195774,0
149549,0
6281,-1
11045,-1
43916,0
24868,-1
146582,-1
123848,1
142319,1
85669,1
84237,-1
186658,-1
116752,1
160063,-1
3787,-1
7518,1
122791,-1
203696,-1
6933,1
149110,-1
66212,-1
163181,1
29064,-1
31373,-1
219062,-1
156747,-1
58101,1
85528,-1
141652,0
15991,-1
177055,-1
45558,1
47817,-1
126973,-1
59359,-1
184950,-1
122972,1
210272,1
107058,0
172480,-1
125572,1
198313,1
47356,0
184262,0
214342,0
139469,1
177566,1
176204,-1
117865,0
155104,-1
202742,-1
55035,1
93461,0
154758,-1
133830,-1
186453,-1
70457,-1
117362,1
148493,1
1478,0
166979,0
40557,-1
212811,0
271,0
99635,1
141372,-1
184860,0
86578,1
66472,1
89922,-1
14967,0
122193,1
98785,1
37397,1
104901,1
200828,-1
73503,-1
165200,-1
38625,1
160099,1
195924,-1
98929,0
204886,-1
178688,1
9835,0
199574,-1
175906,-1
143389,-1
201052,-1
46744,-1
3686,-1
26232,0
218060,0
133769,-1
131539,0
60122,0
208861,-1
116701,-1
187622,0
76190,-1
133185,-1
75873,0
200478,1
125427,1
33252,1
200861,1
54853,1
60732,1
113867,0
71208,-1
145889,0
182761,-1
187963,1
200270,1
218514,1
133343,1
140351,0
151751,-1
162317,1
195196,-1
153881,-1
207817,-1
16414,1
197563,-1
64647,0
204005,-1
121191,1
83973,0
215418,0
157315,1
127755,-1
66959,-1
148723,-1
163033,0
185121,1
209162,-1
184488,-1
171997,-1
177596,0
190924,1
137076,-1
179839,1
125927,0
43080,0
137018,-1
150493,1
182189,0
87294,1
53494,0
74097,-1
84488,-1
77389,-1
64311,1
55874,0
27292,0
4634,-1
128669,-1
25580,1
4832,0
63847,-1
93114,1
54723,-1
158969,1
85828,-1
86882,0
199714,-1
59239,-1
141315,1
90575,0
106248,0
193490,-1
43783,0
213937,0
116389,1
62206,-1
135405,0
183436,-1
162281,0
58767,-1
139723,-1
58735,-1
73800,-1
29759,-1
114966,0
175900,-1
170303,0
168597,-1
115497,-1
191262,-1
2481,0
140670,1
116279,0
46282,1
81329,-1
17346,-1
193418,1
130217,1
157851,-1
190087,1
21517,1
121805,-1
20831,1
149961,-1
171205,-1
92913,-1
116204,-1
14917,0
159684,-1
71390,-1
160395,0
173061,-1
132836,-1
116124,0
80861,0
170175,1
89855,1
205520,1
199021,1
176834,-1
173897,-1
66503,0
10816,1
38792,0
151712,1
189936,-1
22480,1
164756,0
71453,-1
160523,-1
169722,0
70690,1
194972,1
139427,0
114536,0
185407,1
113127,0
99091,1
175509,-1
166206,-1
113599,-1
180839,0
190492,0
23334,-1
89554,-1
8280,1
195737,-1
117123,0
197963,-1
130478,-1
74411,-1
11610,-1
79748,-1
6854,1
63577,-1
198359,-1
83505,0
105837,-1
184661,-1
178272,0
208301,1
74595,0
22215,-1
147449,1
4878,0
110902,-1
141605,-1
180601,1
134353,-1
7514,-1
87135,-1
219284,-1
209150,1
36040,0
139474,-1
140337,0
168907,-1
104005,-1
173197,-1
29383,0
33589,-1
200202,1
190672,1
174959,-1
99382,0
44443,-1
9036,1
139377,1
3156,-1
157609,0
219065,1
76482,-1
28918,0
67794,-1
92946,1
35425,1
195406,-1
6344,1
174663,1
88785,0
118067,-1
39571,-1
69796,1
172703,-1
15768,-1
17536,-1
191331,-1
98687,-1
7412,1
8390,-1
164220,1
147137,1
98769,0
176949,-1
131343,0
104856,0
93833,-1
167349,1
129538,0
97846,0
214910,-1
90543,1
151499,-1
16527,1
65855,1
52728,-1
53456,-1
154279,-1
149639,1
219100,0
49852,0
204233,-1
66175,-1
98738,-1
129690,0
168725,-1
5824,-1
77446,0
129093,-1
105374,0
197396,1
21553,-1
181555,-1
197893,-1
148289,0
217373,-1
24257,0
33080,1
32091,-1
72877,-1
130779,1
109409,0
2088,-1
130627,0
31248,0
115614,-1
79451,1
172092,-1
40195,-1
49315,-1
97061,1
192900,-1
28143,-1
108404,-1
64365,1
49341,1
60745,0
159217,-1
72694,1
105244,1
122796,-1
36720,1
24565,0
51124,1
178459,-1
188817,-1
6425,-1
173304,0
42367,-1
218703,0
200395,-1
30147,-1
110973,-1
209252,-1
18198,1
164394,1
136165,-1
13725,1
164457,1
169216,-1
58992,0
158576,0
145976,-1
26426,-1
71381,-1
149354,-1
67184,0
145932,-1
105776,1
129389,1
95356,-1
201111,-1
50501,-1
78934,1
44543,-1
188627,1
210435,-1
26184,-1
165585,-1
173982,0
21369,-1
43443,-1
18269,1
102641,-1
115055,-1
164947,-1
204027,1
92560,0
92070,-1
215517,0
113486,-1
157322,1
73738,-1
113061,-1
210143,1
19472,-1
162530,1
217239,1
57069,-1
67538,1
2037,1
100004,1
130022,0
155188,0
30477,-1
92754,0
182811,1
178360,-1
77351,-1
154354,-1
120620,0
93442,-1
106758,0
156961,0
97102,-1
135838,-1
102625,-1
61848,-1
102314,0
145612,0
211770,1
91248,-1
56260,1
135577,1
218544,1
104298,0
160659,1
31268,-1
159386,1
194074,1
71184,0
139691,1
183713,-1
173350,0
132929,1
206787,-1
61118,-1
73549,1
128744,-1
94028,-1
168736,1
170379,1
160121,-1
40458,1
207976,-1
211216,-1
57438,-1
49333,-1
146073,0
171333,0
75339,-1
91382,1
30101,1
60419,0
112142,0
146792,-1
178357,1
99321,-1
122039,1
117071,-1
171183,1
10197,-1
142755,0
200920,-1
150876,-1
3165,0
57625,-1
129594,1
132592,-1
101929,0
58579,1
43941,-1
179821,0
87481,1
70095,1
79456,-1
104241,1
164387,1
18596,-1
76680,-1
108690,-1
218125,0
34554,-1
47348,-1
160221,-1
152146,-1
168244,-1
201569,1
69026,0
214079,-1
76776,-1
136810,0
154589,0
73304,1
45092,-1
193645,-1
52496,1
132465,0
212831,1
15073,-1
10826,-1
11462,1
43091,0
211649,1
87461,-1
129448,0
121252,1
169349,1
100096,-1
146330,-1
12430,-1
4347,0
76817,-1
186496,0
5404,-1
82672,-1
204357,-1
35106,-1
17964,0
114283,-1
30018,0
40753,-1
211911,1
177565,-1
167874,0
51585,-1
14183,1
21197,0
193341,0
60852,-1
60752,0
114841,-1
122144,-1
216933,-1
87621,0
57552,-1
159268,-1
185232,-1
140492,-1
175732,1
61963,1
212740,1
144095,-1
61851,-1
84525,0
54280,1
61959,-1
197115,0
134126,-1
28350,0
125388,1
98681,-1
126638,-1
205851,-1
107514,-1
130890,1
155095,-1
101148,1
144422,1
17174,-1
105133,1
176804,-1
33093,1
65716,1
81289,0
114505,1
171377,-1
62466,-1
209641,-1
185614,0
26765,0
92428,-1
12212,-1
80537,1
185108,0
68465,-1
132052,-1
38068,-1
75039,1
178968,0
67938,-1
41494,1
102502,1
64730,0
187648,1
61806,0
211432,-1
157308,0
121130,-1
4012,-1
179391,-1
191850,-1
103750,1
151423,-1
201122,0
28528,1
21853,0
78843,-1
7090,1
193826,-1
50343,1
177271,0
106682,0
1786,1
177208,1
104872,-1
16378,1
120447,-1
940,-1
31788,-1
4083,0
29369,-1
24588,0
177930,0
112063,-1
78010,1
23879,-1
169084,1
216844,-1
110442,-1
90326,-1
15567,-1
215538,-1
117238,-1
176475,0
12425,-1
7513,-1
183227,-1
30313,1
160173,-1
36031,0
142473,-1
202684,-1
124315,1
129911,-1
145237,1
72985,-1
168306,1
188278,1
130510,0
109057,-1
164122,0
143691,0
215521,0
3427,-1
29006,-1
173374,-1
190880,0
216696,1
151794,-1
190419,-1
184467,-1
17805,0
176142,-1
103205,1
164346,1
187762,-1
192887,-1
217646,1
136345,-1
206543,0
8906,-1
215459,-1
158599,-1
161920,1
111410,-1
18530,0
34970,0
175925,1
39019,-1
22632,-1
25167,0
178432,-1
210837,0
48682,1
35621,0
181540,1
146317,0
214794,-1
199200,-1
84372,1
198,0
163761,0
75935,0
185365,1
23142,-1
6686,0
76444,1
33011,-1
151166,1
129276,0
29322,-1
24851,0
169186,1
3548,-1
119807,-1
149187,-1
22521,0
21699,0
160500,0
158872,-1
78557,0
163908,0
194712,1
16379,1
197447,0
83694,-1
7243,1
57659,-1
25384,1
99983,0
190202,1
176099,0
138147,-1
102079,0
116281,0
53438,-1
42730,-1
40891,0
187548,0
176901,1
98846,-1
186601,0
61793,-1
79034,-1
113481,-1
103122,-1
88547,-1
31761,0
213727,0
92392,0
144225,1
193323,1
70633,1
187249,1
119799,1
147415,-1
10891,-1
169750,-1
64692,-1
213673,-1
214842,-1
151040,-1
96332,0
89596,-1
35766,1
82580,-1
82348,-1
29194,-1
198364,1
120583,-1
139517,-1
209775,1
68588,0
206928,-1
151564,0
212641,-1
35821,0
83908,-1
211944,-1
151290,0
200147,-1
48768,1
195014,-1
90749,0
17521,0
201963,1
111423,0
52630,-1
92028,0
211969,0
55962,1
61865,1
107709,0
164025,-1
125135,0
181163,-1
170593,0
84016,-1
82444,0
43907,0
68986,-1
87820,-1
194983,0
74033,-1
142892,0
100366,1
1644,1
107958,0
45673,1
200949,-1
181186,0
43712,-1
62219,1
177635,-1
155060,-1
186092,-1
67110,-1
45004,1
167421,-1
140627,-1
117368,-1
186176,-1
35323,-1
83430,1
214326,0
41513,-1
75853,-1
128392,-1
140071,0
206832,-1
19390,1
31123,1
73648,-1
195770,0
1952,-1
135312,-1
154369,-1
29887,-1
69762,-1
142373,1
4215,0
50153,-1
90281,1
193272,-1
16890,-1
11283,-1
18875,0
1450,-1
85218,-1
39343,1
162897,-1
168407,1
64795,1
218478,-1
14097,1
54041,-1
20259,0
162900,-1
143227,-1
54836,-1
41360,-1
139307,-1
42138,1
145333,-1
192475,-1
152768,-1
203652,0
65775,0
178093,-1
130058,0
178041,1
60667,0
21619,0
23568,-1
206248,1
148990,1
173584,-1
34789,0
58255,0
119697,-1
195923,-1
14427,1
135728,1
205770,-1
96233,0
6541,-1
7975,1
149290,1
174281,1
158892,-1
89548,1
105260,-1
164706,1
41394,1
84101,-1
64409,1
47183,-1
181066,-1
113516,-1
183794,-1
183521,0
181806,1
104042,0
196036,-1
36733,-1
199799,0
120113,-1
101947,0
15571,-1
216215,1
